FID,BH_2010,BH_2020,MODIS_2010,MODIS_2020,city_name,buffer_id,distance,predict_2010,residual_2010,predict_2020,residual_2020
8351,0.009922565,0.239939379,21.8697351,20.1594429,七台河市,60,30,20.82032764621927,1.0494074537807307,19.45117736241707,0.7082655375829283
8352,0.00112924,0.086458032,21.85465838,20.15720498,七台河市,59,29,20.817788313162563,1.0368700668374373,19.430624054582943,0.726580925417057
8353,0.000623029,0.089926388,21.8415761,20.14565229,七台河市,58,28,20.817642129742072,1.0239339702579286,19.431088516160457,0.7145637738395436
8354,7.79e-05,0.12745441,21.8236412,20.14459929,七台河市,57,27,20.81748470759631,1.00615649240369,19.43611404534461,0.7084852446553889
8355,0.002609441,0.195967783,21.82783254,20.15586312,七台河市,56,26,20.81821576504565,1.009616774954349,19.445288948181652,0.7105741718183474
8356,0.003310227,0.213986114,21.8440896,20.16504765,七台河市,55,25,20.818418137760805,1.0256714622391954,19.447701855749504,0.7173457942504982
8357,0.003661862,0.19752118,21.84203958,20.16461002,七台河市,54,24,20.81851968278267,1.02351989721733,19.445496969855647,0.7191130501443546
8358,0.003740648,0.243632106,21.8558959,20.17697624,七台河市,53,23,20.818542434573853,1.037353465426147,19.45167187042252,0.7253043695774792
8359,0.003740503,0.240321345,21.87628461,20.18886686,七台河市,52,22,20.81854239270081,1.0577422172991895,19.45122851302875,0.7376383469712522
8360,0.005959568,0.401814438,21.89140329,20.19703559,七台河市,51,21,20.819183213449442,1.0722200765505576,19.47285470616813,0.7241808838318704
8361,0.016836198,0.530266869,21.90711476,20.20237154,七台河市,50,20,20.8223241625335,1.0847905974664975,19.49005629064722,0.7123152493527805
8362,0.023188745,0.576131419,21.92143359,20.2120245,七台河市,49,19,20.82415864864557,1.0972749413544278,19.496198198007622,0.7158263019923758
8363,0.019533687,0.627716639,21.90736045,20.20531058,七台河市,48,18,20.82310314238331,1.0842573076166886,19.503106183421323,0.7022043965786757
8364,0.011657375,0.628186169,21.90478954,20.20006795,七台河市,47,17,20.820828623992764,1.0839609160072357,19.50316906008234,0.6968988899176622
8365,0.013526683,0.758710566,21.87564545,20.17792115,七台河市,46,16,20.82136844204766,1.05427700795234,19.52064810990723,0.6572730400927682
8366,0.015751716,0.786857861,21.85444669,20.15846507,七台河市,45,15,20.82201098623307,1.0324357037669287,19.52441742800445,0.6340476419955472
8367,0.012480499,0.675040708,21.86283965,20.1570312,七台河市,44,14,20.821066325429136,1.0417733245708654,19.509443540873107,0.6475876591268914
8368,0.171224593,1.111562283,21.85959073,20.14395774,七台河市,43,13,20.866908384656043,0.9926823453439582,19.567899910214283,0.576057829785718
8369,0.497854579,1.400570535,21.89983521,20.17447297,七台河市,42,12,20.96123246806727,0.9386027419327299,19.606602173949035,0.5678707960509648
8370,0.660205156,1.843381953,21.98514488,20.22654807,七台河市,41,11,21.008116006086368,0.9770288739136319,19.665900841601598,0.5606472283984019
8371,0.739656046,2.830067077,22.02068505,20.24937411,七台河市,40,10,21.031059803951443,0.9896252460485577,19.79803183657473,0.4513422734252721
8372,0.741016738,3.757006798,22.07200262,20.27615282,七台河市,39,9,21.03145274407086,1.0405498759291376,19.922162083029974,0.3539907369700259
8373,0.589922723,4.500590011,22.10764265,20.3232676,七台河市,38,8,20.98781987175461,1.1198227782453891,20.02173831803056,0.3015292819694402
8374,0.494436853,4.518034154,22.09645961,20.31490679,七台河市,37,7,20.960245498449908,1.1362141115500926,20.024074333761394,0.2908324562386042
8375,0.677230505,4.565831501,22.06827445,20.2997282,七台河市,36,6,21.01303257991,1.0552418700900006,20.030475069784032,0.26925313021596864
8376,1.020611313,4.661893541,22.03960595,20.2640964,七台河市,35,5,21.112193959341976,0.9274119906580225,20.043339126022047,0.2207572739779522
8377,2.045433255,5.50502366,22.03662715,20.27124504,七台河市,34,4,21.408141650864895,0.6284854991351061,20.156246089759023,0.1149989502409774
8378,3.390971571,6.785367654,22.09588995,20.34140625,七台河市,33,3,21.796705695169713,0.299184254830287,20.327702131529744,0.013704118470254656
8379,4.595944996,8.178190254,22.12199487,20.40533887,七台河市,32,2,22.144677463591528,-0.0226825935915258,20.514220638277862,-0.10888176827786111
8380,4.863634589,9.071964883,22.1789063,20.4810122,七台河市,31,1,22.22198076267825,-0.04307446267824844,20.63390961314834,-0.1528974131483416
8381,4.890576795,9.379938705,22.21439389,20.51768771,七台河市,30,0,22.21439389,0.0,20.51768771,0.0
8382,5.109314587,8.982781099,22.14878124,20.47592232,七台河市,29,-1,22.14878124,0.0,20.47592232,0.0
8383,4.72590538,7.806984249,22.054216,20.40227277,七台河市,28,-2,22.054216,0.0,20.40227277,0.0
8384,3.206732085,5.354722369,21.83997965,20.22666445,七台河市,27,-3,21.83997965,0.0,20.22666445,0.0
8385,1.718575282,3.115120333,21.72782601,20.12583858,七台河市,26,-4,21.72782601,0.0,20.12583858,0.0
8386,0.655266758,1.43131382,21.55336275,19.9603941,七台河市,25,-5,21.55336275,0.0,19.9603941,0.0
8387,0.060819262,0.467443345,21.44086275,19.86137915,七台河市,24,-6,21.44086275,0.0,19.86137915,0.0
8388,0.0,0.33304612,21.38484839,19.81851122,七台河市,23,-7,21.38484839,0.0,19.81851122,0.0
8389,0.0,0.304212122,21.37384505,19.8056386,七台河市,22,-8,21.37384505,0.0,19.8056386,0.0
8390,0.000117366,0.474518842,21.47445652,19.86234023,七台河市,21,-9,21.47445652,0.0,19.86234023,0.0
8391,0.000117343,0.57742575,21.54228945,19.8909308,七台河市,20,-10,21.54228945,0.0,19.8909308,0.0
8392,0.000117297,0.491053605,21.5646575,19.92420955,七台河市,19,-11,21.5646575,0.0,19.92420955,0.0
8393,0.000117362,0.446074456,21.52990778,19.91406458,七台河市,18,-12,21.52990778,0.0,19.91406458,0.0
8394,0.000117362,0.390660797,21.44268776,19.86637023,七台河市,17,-13,21.44268776,0.0,19.86637023,0.0
8395,0.000117426,0.256650402,21.268716,19.76480975,七台河市,16,-14,21.268716,0.0,19.76480975,0.0
8396,0.0,0.010890286,21.16360247,19.6993478,七台河市,15,-15,21.16360247,0.0,19.6993478,0.0
8397,0.0,0.0,20.9575407,19.56932745,七台河市,14,-16,20.9575407,0.0,19.56932745,0.0
8398,0.0,0.0,20.71623645,19.4167459,七台河市,13,-17,20.71623645,0.0,19.4167459,0.0
8399,0.0,0.0,20.56258235,19.30378783,七台河市,12,-18,20.56258235,0.0,19.30378783,0.0
8400,0.0,0.010520497,20.411481,19.2048573,七台河市,11,-19,20.411481,0.0,19.2048573,0.0
8401,0.0,0.020554833,20.3617008,19.14184781,七台河市,10,-20,20.3617008,0.0,19.14184781,0.0
8402,0.0,0.025116559,20.2946332,19.08930025,七台河市,9,-21,20.2946332,0.0,19.08930025,0.0
8403,0.0,0.025116559,20.26535325,19.05227585,七台河市,8,-22,20.26535325,0.0,19.05227585,0.0
8404,0.0,0.015944739,20.24492752,19.0051713,七台河市,7,-23,20.24492752,0.0,19.0051713,0.0
8405,0.0,0.005790677,20.221245,18.97542822,七台河市,6,-24,20.221245,0.0,18.97542822,0.0
8406,0.0,0.015916383,20.18440886,18.9544836,七台河市,5,-25,20.18440886,0.0,18.9544836,0.0
8407,0.0,0.020950088,20.18322972,18.97394409,七台河市,4,-26,20.18322972,0.0,18.97394409,0.0
8408,0.0,0.020911434,20.19487076,19.0179688,七台河市,3,-27,20.19487076,0.0,19.0179688,0.0
8409,0.0,0.020872924,20.2401154,19.09745245,七台河市,2,-28,20.2401154,0.0,19.09745245,0.0
8410,0.0,0.004960154,20.28013828,19.15563244,七台河市,1,-29,20.28013828,0.0,19.15563244,0.0
8411,0.0,0.004955574,20.38026485,19.27432065,七台河市,0,-30,20.38026485,0.0,19.27432065,0.0
6037,0.0,0.0,28.32984619,28.9410778,万宁市,60,30,28.009203622373754,0.32064256762624765,28.6978083935022,0.2432694064977987
6038,0.0,0.0,28.33052546,28.94420293,万宁市,59,29,28.009203622373754,0.3213218376262468,28.6978083935022,0.24639453649779952
6039,0.0,0.0,28.29891309,28.93726086,万宁市,58,28,28.009203622373754,0.2897094676262455,28.6978083935022,0.2394524664977986
6040,0.0,0.0,28.26956522,28.91833655,万宁市,57,27,28.009203622373754,0.2603615976262468,28.6978083935022,0.22052815649779944
6041,0.0,0.0,28.22567927,28.8727356,万宁市,56,26,28.009203622373754,0.21647564762624683,28.6978083935022,0.1749272064977987
6042,0.0,0.0,28.19427244,28.82119587,万宁市,55,25,28.009203622373754,0.18506881762624516,28.6978083935022,0.12338747649780046
6043,0.0,0.0,28.15715574,28.77028999,万宁市,54,24,28.009203622373754,0.1479521176262466,28.6978083935022,0.0724815964977985
6044,0.0,0.0,28.12042567,28.71471939,万宁市,53,23,28.009203622373754,0.11122204762624577,28.6978083935022,0.016910996497799147
6045,0.0,0.0,28.10009054,28.65566127,万宁市,52,22,28.009203622373754,0.09088691762624634,28.6978083935022,-0.0421471235022004
6046,0.0,0.0,28.13285578,28.66758894,万宁市,51,21,28.009203622373754,0.12365215762624615,28.6978083935022,-0.030219453502198235
6047,0.0,0.0,28.15375913,28.69094187,万宁市,50,20,28.009203622373754,0.14455550762624725,28.6978083935022,-0.006866523502200295
6048,0.0,0.0,28.17424751,28.71647151,万宁市,49,19,28.009203622373754,0.165043887626247,28.6978083935022,0.018663116497801724
6049,0.0,0.0,28.20258153,28.72386767,万宁市,48,18,28.009203622373754,0.19337790762624607,28.6978083935022,0.02605927649780071
6050,0.0,0.02985634,28.25278271,28.77852173,万宁市,47,17,28.009203622373754,0.24357908762624803,28.69971935498411,0.07880237501588994
6051,0.0,0.362372483,28.3080616,28.82432073,万宁市,46,16,28.009203622373754,0.2988579776262448,28.721002122442762,0.1033186075572381
6052,0.003895557,0.754967652,28.3424408,28.86941723,万宁市,45,15,28.012662090723193,0.3297787092768054,28.74613026091999,0.12328696908000936
6053,0.014269917,1.227984702,28.37821566,28.88754552,万宁市,44,14,28.021872428476094,0.3563432315239048,28.776405819238153,0.11113970076184643
6054,0.015111626,1.620417102,28.39447827,28.89443481,万宁市,43,13,28.022619696180286,0.3718585738197149,28.801523539650425,0.09291127034957469
6055,0.005738352,2.012136003,28.40878614,28.89288953,万宁市,42,12,28.01429812073944,0.3944880192605602,28.826595592405297,0.06629393759470403
